"knr","aar","knavn","Menn_ya_p","Kvinner_ya_p","Totalt_ya_p","inc_k1","inc_k5","mf_uni_k","m_uni_k","f_uni_k","mf_uni_l","m_uni_l","f_uni_l","Trade_pc"
"16","0104","2013","Moss",59.6072290728779,57.5569886980397,58.5710597650704,23.2,15.3,20.5,17.7,23.1,6.6,7.7,5.5,72253
"17","0104","2014","Moss",59.2418283798594,57.1437614736975,58.1832119586048,23.4,15.3,20.9,18,23.6,7.2,8.2,6.1,73458
"18","0104","2015","Moss",59.0508775264525,57.1383981521943,58.0875416640463,23.2,15.8,21.2,18.1,24.2,7.7,8.7,6.6,78458
"19","0104","2016","Moss",58.825,56.6617229019899,57.7372444223479,22.7,15.9,21.6,18.4,24.7,8,9,7,77168
"20","0104","2017","Moss",58.7068697544296,56.6413429726749,57.6665535223871,22.9,15.9,21.8,18.5,25.1,8.3,9.2,7.4,77498
"21","0105","2008","Sarpsborg",60.8985484379931,58.0638885646473,59.4715295868999,22.2,13.6,16.3,13.7,18.9,2.8,3.9,1.7,63674
"22","0105","2009","Sarpsborg",60.6931464174455,57.8658372691318,59.2695705972198,22.5,13.3,16.6,13.9,19.2,2.9,3.9,1.8,62126
"23","0105","2010","Sarpsborg",60.0679038543154,57.5571646341463,58.8048083743937,22.3,13.1,17,14.1,19.8,2.9,4,1.9,61733
"24","0105","2011","Sarpsborg",59.7989567071546,57.2827970763318,58.5342297130954,22.4,13.2,17.2,14.2,20.2,3,4,2.1,62153
"25","0105","2012","Sarpsborg",59.5595708639187,56.9000298864316,58.2247389046182,22.8,13,17.7,14.6,20.8,3.1,4,2.3,63121
"26","0105","2013","Sarpsborg",59.2173555879168,56.7898941110905,58.0005959475566,23.5,12.7,18.1,14.8,21.3,3.2,4,2.4,61670
"27","0105","2014","Sarpsborg",59.3393527291643,56.6381787371988,57.9829445605727,23,13,18.5,15.1,21.9,3.5,4.2,2.8,65438
"28","0105","2015","Sarpsborg",59.0755897929706,56.5407671656063,57.8037348686153,23,13.5,19,15.5,22.5,3.8,4.5,3.2,67496
"29","0105","2016","Sarpsborg",59.1515729265968,56.5391913589257,57.8422766011924,22.8,13.8,19.4,15.6,23.2,4,4.7,3.3,69291
"30","0105","2017","Sarpsborg",58.8622080139499,56.6159420289855,57.7375877519183,22.8,14,19.9,15.9,23.7,4.2,4.8,3.6,69540
"31","0106","2008","Fredrikstad",59.8109082649556,57.8207046660318,58.7945981993998,21.8,16.2,19,16.2,21.5,4.3,5.8,2.9,69040
"32","0106","2009","Fredrikstad",59.8404255319149,57.8725701943845,58.8386476085761,21.9,16.2,19.4,16.5,22,4.5,6,3.2,68097
"33","0106","2010","Fredrikstad",59.7049153151162,57.7433569234878,58.7074608218583,21.9,15.9,19.8,16.7,22.6,4.7,6,3.4,69244
"34","0106","2011","Fredrikstad",59.4721934745901,57.8907054752912,58.6693305085882,22,16.1,20.2,16.9,23.3,4.9,6.2,3.7,69560
"35","0106","2012","Fredrikstad",59.4295024171363,57.7814482722458,58.5978328460103,22,16.1,20.5,17.2,23.7,5.2,6.4,4,71186
"36","0106","2013","Fredrikstad",59.5135007478548,57.6825675745517,58.5910138398844,22.4,15.6,20.9,17.4,24.2,5.3,6.4,4.2,73291
"37","0106","2014","Fredrikstad",59.6414653156664,57.6481419912534,58.6369553169826,22.5,15.7,21.3,17.7,24.8,5.7,6.7,4.6,76861
"38","0106","2015","Fredrikstad",59.4219712790368,57.5281926241999,58.4679947286941,21.9,16.1,21.6,17.7,25.3,6,6.9,5.1,76711
"39","0106","2016","Fredrikstad",59.3322442311619,57.636148877887,58.4775919054795,22.1,16.7,22.2,18.2,26,6.1,7,5.3,77905
"40","0106","2017","Fredrikstad",59.4159265392142,57.8372202766808,58.6225833426942,22.1,16.7,22.6,18.6,26.6,6.3,7.1,5.6,80019
"41","0111","2008","Hvaler",61.6724738675958,61.2704918032787,61.4743751577884,17.8,19,18.3,14.6,22.1,4.7,6.3,3.1,75027
"42","0111","2009","Hvaler",61.4660723130263,61.4451743304699,61.455727863932,16.9,18.8,18.5,14.3,22.7,4.6,6.2,3,74539
"43","0111","2010","Hvaler",60.1539942252166,60.8868958644743,60.5140758873929,16.6,18.7,19.1,15,23.3,4.9,6.5,3.2,72445
"44","0111","2011","Hvaler",59.4059405940594,60.4217753800883,59.9038461538462,16.9,19.1,20.4,15.9,24.8,5.3,6.9,3.6,72496
"45","0111","2012","Hvaler",58.5687382297552,59.9423631123919,59.2486923442701,16.2,19.9,20.4,15.7,25.1,6,7.6,4.3,73858
"46","0111","2013","Hvaler",57.8190255220418,58.9948332550493,58.4033613445378,16.4,20,20.6,15.9,25.3,6.1,7.7,4.5,75379
"47","0111","2014","Hvaler",57.149300857014,58.6906408483172,57.9115367077063,16.5,19.4,21.1,16.4,25.7,6.3,7.6,5.1,80361
"48","0111","2015","Hvaler",56.0390763765542,58.6624775583483,57.34375,16.6,19.8,21.3,16.4,26.2,6.6,7.8,5.3,79161
"49","0111","2016","Hvaler",55.6437389770723,58.0026749888542,56.816670361339,16.2,20.3,21.7,17.1,26.3,7,8.1,6,82000
"50","0111","2017","Hvaler",55.0350262697023,57.1428571428571,56.0770422847022,15.8,21.1,21.9,16.9,27,7.1,8.1,6,96079
"51","0119","2008","Marker",58.1755593803787,55.1162790697674,56.6560785446145,22.8,12.8,12.8,9.4,16.2,2,2.6,1.4,42371
"52","0119","2009","Marker",58.7521663778163,54.5823665893271,56.671490593343,23.3,12.5,13,9.5,16.4,2,2.7,1.4,43524
"53","0119","2010","Marker",58.1568402976531,55.5104408352668,56.8424085278018,23.2,13.4,13.1,9.5,16.7,2.2,2.6,1.9,41048
"54","0119","2011","Marker",58.1235697940503,54.5138888888889,56.3291139240506,23.9,12.6,13.1,9.3,16.9,2.6,3.1,2,42913
"55","0119","2012","Marker",57.5265808617795,55.1126516464471,56.3388288800455,22.2,12.6,13.8,9.6,17.9,2.6,3.1,2.1,39581
"56","0119","2013","Marker",56.8206820682068,54.2114188807236,55.5338723166992,23.4,13.3,14.5,10,19,2.6,3,2.3,38128
"57","0119","2014","Marker",56.4187327823691,54.5199326221224,55.4783092324805,22.7,13.1,15.4,11.2,19.6,2.7,3,2.4,40783
"58","0119","2015","Marker",55.5068493150685,53.7472035794183,54.6360365347357,22.4,13.1,15.1,10.4,19.9,2.9,3.4,2.5,40354
"59","0119","2016","Marker",55.5555555555556,53.6076662908681,54.5983379501385,23.6,13.6,15.2,10.9,19.7,3.3,3.3,3.2,41960
"60","0119","2017","Marker",55.8392178164041,53.1321184510251,54.5176536002224,23.7,14.4,15.3,10.7,20,3.6,3.9,3.4,43182
"61","0122","2008","Trøgstad",61.6334661354582,57.5721629102412,59.5951577693987,21.6,15.7,13.3,9.3,17.2,2,2.3,1.7,39404
"62","0122","2009","Trøgstad",61.6752271829316,58.18759936407,59.9365959976224,21.7,14.2,13.5,9.2,17.8,1.8,2,1.6,35833
"63","0122","2010","Trøgstad",61.7096018735363,57.8656126482213,59.7996857816182,21.3,14.6,13.8,9.5,18.1,2,2.2,1.7,37691
"64","0122","2011","Trøgstad",61.8350038550501,57.0643642072214,59.4710229482692,21.1,14.6,13.9,9.7,18.2,2.1,2.3,1.9,37259
"65","0122","2012","Trøgstad",60.392304790645,56.7367601246106,58.5936003065721,21,14.2,13.9,9.4,18.6,2.2,2.4,1.9,36541
"66","0122","2013","Trøgstad",59.874492432632,56.0842433697348,58.0314811302864,21.9,14,14.2,9.5,19,2.1,2.3,2,35540
"67","0122","2014","Trøgstad",59.4614264919942,56.340718105424,57.9388743943347,22.3,14.7,14.4,10,19,2.5,2.4,2.6,37499
"68","0122","2015","Trøgstad",59.5150624540779,56.2118902439024,57.8937523381968,21.2,15.3,15.1,10.7,19.6,2.7,2.6,2.8,36841
"69","0122","2016","Trøgstad",59.6132798248814,55.956956187548,57.8326782706345,21.4,15.3,15.4,10.9,20.1,2.8,2.6,3.1,43035
"70","0122","2017","Trøgstad",59.7747093023256,56.0229445506692,57.9467113843861,22.3,15.3,15.9,11.1,20.9,3.2,2.8,3.6,38260
"71","0123","2008","Spydeberg",60.1577909270217,58.628841607565,59.3928641829292,17,19,14.8,12.3,17.2,3.5,4.4,2.7,66690
"72","0123","2009","Spydeberg",59.813447337738,58.1747572815534,58.993783993784,17.3,19.2,15.6,12.8,18.3,3.6,4.4,2.8,59657
"73","0123","2010","Spydeberg",59.4140625,57.9209819716149,58.6607315657054,17,18.5,16.2,13.2,19.1,3.9,4.7,3.1,64879
"74","0123","2011","Spydeberg",59.5940252776714,58.0256217030897,58.8034188034188,17.1,18.5,16.7,13.9,19.2,3.9,4.6,3.3,62370
"75","0123","2012","Spydeberg",58.1177352830896,57.7023498694517,57.9094988780853,18.7,18.4,17.1,14.3,19.8,4.2,4.8,3.7,59125
"76","0123","2013","Spydeberg",58.1818181818182,57.4522760646109,57.8187796857874,18.5,17.8,16.9,13.6,20.1,4.3,4.9,3.6,57143
"77","0123","2014","Spydeberg",58.1124072110286,56.8613400214977,57.491103202847,18.4,17.7,17.1,13.2,20.9,4.9,5.2,4.6,58532
"78","0123","2015","Spydeberg",56.656239137991,57.0515097690941,56.8517217146873,19.2,18.2,17.5,13.4,21.8,5.1,5.6,4.6,57176
"79","0123","2016","Spydeberg",57.0843291225674,56.3234770217314,56.7119944211994,18.8,18.2,18,14.1,21.9,5.4,5.8,5,55390
"80","0123","2017","Spydeberg",57.3579739904175,56.0323601829054,56.7042497831743,17.9,18.8,18.4,14.4,22.5,5.7,5.9,5.6,55929
"81","0124","2008","Askim",60.8988764044944,58.5418933623504,59.7014925373134,20.9,15.2,15.1,13.5,16.7,3.3,4.5,2,61200
"82","0124","2009","Askim",61.1894882434302,58.7581961728891,59.9537509351833,20.7,14.9,15.2,13.7,16.7,3.3,4.5,2.1,60757
"83","0124","2010","Askim",60.9663409337676,58.7379935965849,59.8425726587729,20.8,14.8,15.4,13.7,17,3.3,4.4,2.3,59093
"84","0124","2011","Askim",60.72347920336,58.5414452709883,59.6217050103964,20.9,14.7,15.6,13.6,17.6,3.5,4.5,2.5,60595
"85","0124","2012","Askim",60.2024507192328,58.0521876647338,59.1216216216216,20.6,14.2,15.7,13.4,17.9,3.5,4.5,2.6,60880
"86","0124","2013","Askim",60.279020794946,58.0536477905922,59.1576885406464,21.5,14.3,16,13.5,18.3,3.7,4.7,2.8,62616
"87","0124","2014","Askim",59.866614358572,58.0752923037389,58.9630589760207,20.5,14.4,16.5,13.6,19.2,4,4.9,3,66310
"88","0124","2015","Askim",58.688057963514,57.9779033915725,58.3317217817314,20.8,14.4,16.8,13.8,19.7,4.1,4.8,3.3,67747
"89","0124","2016","Askim",58.0870014199045,57.7020843924758,57.8930515529939,20.8,14.7,17.2,14.2,20.1,4.3,4.9,3.7,77536
"90","0124","2017","Askim",57.8805740645823,57.566953006569,57.7226463104326,20.9,14.6,17.5,14.4,20.5,4.3,5,3.7,73460
"91","0125","2008","Eidsberg",59.242161954222,57.4011299435028,58.3119231135217,22.2,14.6,13.9,10.8,17,2.7,3.6,1.8,77288
"92","0125","2009","Eidsberg",59.2368719304873,57.7399667098206,58.4805158396412,22.8,13.3,14.4,11.1,17.6,2.7,3.6,1.8,75626
"93","0125","2010","Eidsberg",59.3447505584512,57.1848045512938,58.2570926901395,23.6,13.1,14.7,11.3,17.8,2.7,3.5,1.9,74728
"94","0125","2011","Eidsberg",59.2585795558818,57.0752139865234,58.1627056672761,23.2,12.8,14.9,11.4,18.2,2.8,3.6,2.1,72706
"95","0125","2012","Eidsberg",58.8911180010943,56.2702120014373,57.5708208887682,23.3,12.3,15.6,12.2,18.8,3,3.8,2.3,73713
"96","0125","2013","Eidsberg",58.9234620886981,56.5768338390148,57.7489950870924,23.4,12,15.9,12.3,19.4,3.1,3.8,2.5,73374
"97","0125","2014","Eidsberg",58.7329676163511,56.9287729196051,57.8291972092202,22.7,12.4,16.5,12.9,20.1,3.6,4.1,3,74888
"98","0125","2015","Eidsberg",58.3010903974675,56.3613905064408,57.3328635602924,23.2,12.8,16.9,12.8,20.9,3.8,4.2,3.4,74425
"99","0125","2016","Eidsberg",58.3958151700087,56.3681328387211,57.3885573885574,23.5,12.8,16.8,12.4,21.2,3.8,4.3,3.3,77436
"100","0125","2017","Eidsberg",58.95431648428,56.8596211718888,57.9168858495529,23.3,12.7,17.1,12.7,21.5,4,4.2,3.7,78587
"101","0127","2008","Skiptvet",59.9556295063783,56.7363530778165,58.3829787234043,18.6,15,13,10.2,15.9,1.5,1.6,1.4,17937
"102","0127","2009","Skiptvet",60.4190260475651,56.8366164542294,58.6483390607102,18.1,15.5,13,10,16.1,1.6,1.5,1.6,17532
"103","0127","2010","Skiptvet",60.2908277404922,56.4746149458072,58.4015814741598,17.8,16.1,13.3,10.6,16.1,1.6,1.7,1.6,19382
"104","0127","2011","Skiptvet",59.2592592592593,56.0271646859083,57.662192393736,17.7,16.5,13.5,10.5,16.5,1.9,2,1.8,22339
"105","0127","2012","Skiptvet",59.2978606692266,55.5309734513274,57.422197741669,18.4,15.9,13.9,10.9,16.9,2.1,2.2,2,22791
"106","0127","2013","Skiptvet",59.4021739130435,55.1969365426696,57.3064340239913,19.7,15.2,14.2,10.8,17.6,2.3,2.5,2.2,22669
"107","0127","2014","Skiptvet",59.2849519743863,55.9633027522936,57.6334853769788,19.7,16.4,14.8,11.5,18.2,2.6,2.6,2.7,25959
"108","0127","2015","Skiptvet",58.6115527291998,56.2906724511931,57.4644867327794,20.7,16.7,14.9,11.4,18.5,2.7,2.9,2.5,30008
"109","0127","2016","Skiptvet",59.3716719914803,55.5793991416309,57.4826296098343,19.4,15.8,15.4,11.8,19,2.9,2.9,2.8,31424
"110","0127","2017","Skiptvet",58.4038054968288,55.7905869910101,57.0975416336241,20.2,16.3,15.8,11.8,19.8,2.8,2.9,2.8,31997
"111","0128","2008","Rakkestad",60.3920515574651,56.3175943022949,58.3366600133067,21,15.2,12.9,9.2,16.5,1.9,2.6,1.3,42057
"112","0128","2009","Rakkestad",60.7496653279786,56.2882212177612,58.5112059765208,21.7,14.2,13,9.3,16.6,2,2.5,1.5,43799
"113","0128","2010","Rakkestad",60.8753669602349,56.1538461538462,58.5073832646002,21.7,14.9,13.2,9.3,17.1,2.1,2.5,1.8,43382
"114","0128","2011","Rakkestad",60.4589817989976,56.1417322834646,58.2949611893172,21.5,14.2,13.4,9.2,17.6,2.3,2.7,1.9,44546
"115","0128","2012","Rakkestad",60.3636363636364,56.4968814968815,58.4307612366849,21.2,14.3,13.7,9.1,18.4,2.2,2.6,1.7,45470
"116","0128","2013","Rakkestad",59.8984771573604,56.6071428571429,58.2569974554707,22,13.7,14,9.2,18.7,2.2,2.7,1.8,45835
"117","0128","2014","Rakkestad",59.5909204290347,56.5699873896595,58.0887885628292,22.1,14,14.7,9.9,19.4,2.7,3.1,2.4,46532
"118","0128","2015","Rakkestad",59.2675635276532,56.2156764852721,57.7431421446384,21.4,14.7,15.2,9.8,20.6,2.9,3.2,2.7,43577
"119","0128","2016","Rakkestad",58.5587801278898,55.8237929318069,57.1994062345374,21.3,15.2,15.1,9.7,20.5,3,3.2,2.8,43849
"120","0128","2017","Rakkestad",58.2644628099173,55.7526484355753,57.0170072188915,21.2,15.3,15.2,9.7,20.9,3.1,3.2,2.9,45201
"121","0135","2008","Råde",58.7390029325513,57.4524158125915,58.0952380952381,15.9,20.4,17.4,14.8,19.9,3.8,4.9,2.6,45209
"122","0135","2009","Råde",58.8459285295841,57.2571090047393,58.0559646539028,16.1,20.5,17.2,14.8,19.6,3.9,4.9,2.9,44183
"123","0135","2010","Råde",58.8677065280185,57.6608187134503,58.2679453647196,16.1,20,17.5,14.8,20.2,4.2,5.2,3.2,52590
"124","0135","2011","Råde",58.8470319634703,57.0889018012783,57.9758134177944,16,19.8,18.1,14.9,21.3,4.2,5.1,3.3,54253
"125","0135","2012","Råde",58.806898501555,56.231884057971,57.5354229282954,16.4,19.6,18.2,14.8,21.5,4.2,5,3.4,59363
"126","0135","2013","Råde",58.3286908077994,56.5694484550967,57.4649085495534,16.7,19.5,18.4,15.1,21.8,4.4,5.2,3.6,56734
"127","0135","2014","Råde",58.1933351693748,57.1264036855744,57.6717342342342,17.6,18.4,19.1,15.8,22.3,4.9,5.5,4.4,44725
"128","0135","2015","Råde",57.9505300353357,56.3651828749646,57.1745767416042,18,19.7,19.2,15.5,23,5,5.5,4.4,46340
"129","0135","2016","Råde",57.3931510485798,55.849582172702,56.6399347560147,17.7,19.7,19.7,16.1,23.3,5.4,5.9,4.9,50301
"130","0135","2017","Råde",57.3727248747032,55.9190462988633,56.6639632333063,17.7,20.1,19.7,15.8,23.7,5.6,6,5.3,52438
"131","0136","2008","Rygge",57.5058072009291,57.4722459436379,57.4888601408653,17.1,20.1,17.9,15.4,20.3,4.3,6.3,2.5,105750
"132","0136","2009","Rygge",57.9007415858528,57.4228112223319,57.660404112017,17.7,20,18.4,15.7,20.9,4.5,6.2,2.9,109383
"133","0136","2010","Rygge",57.9465541490858,57.1070583321732,57.5246624221647,17.5,19.9,18.8,16.1,21.3,4.7,6.4,3.1,114941
"134","0136","2011","Rygge",57.7830517939411,57.0976180641608,57.4379592402606,17.1,20.6,19.3,16.3,22.2,4.9,6.4,3.5,136839
"135","0136","2012","Rygge",57.906976744186,56.7944722937271,57.3480362126472,17.2,20.2,19.3,16,22.4,5.1,6.6,3.6,119255
"136","0136","2013","Rygge",58.0614847630554,56.5176908752328,57.2860292643816,17.8,19.3,19.7,16.4,23,5.2,6.7,3.8,123381
"137","0136","2014","Rygge",58.5708604003712,56.178883302461,57.3736838619959,18.1,19.7,19.8,16.4,23.2,5.5,6.9,4.2,127646
"138","0136","2015","Rygge",58.4984906155663,56.3951200314837,57.44652932686,17.7,19.8,20.2,16.6,23.9,5.7,7.1,4.4,128910
"139","0136","2016","Rygge",58.4643133213089,56.6528066528067,57.5624272221503,18.1,19.6,20.6,16.8,24.4,6,7.1,5,128753
"140","0136","2017","Rygge",58.4229844323503,57.3668111139434,57.8967422366165,17.9,20.2,21.3,17,25.5,6.3,7.5,5.1,114336
"141","0137","2008","Våler (Østfold)",60.8516483516483,59.3570057581574,60.1218369259606,13.4,23.2,14.5,10.5,18.7,3.2,4.2,2.2,13293
"142","0137","2009","Våler (Østfold)",61.4096916299559,59.1601292108906,60.3110209601082,15.6,20.6,15,10.9,19.4,3.3,4.2,2.4,12789
"143","0137","2010","Våler (Østfold)",59.9300087489064,59.2863677950595,59.6153846153846,16.7,20.9,15.2,10.8,19.8,3.5,4.5,2.5,12975
"144","0137","2011","Våler (Østfold)",60.7097050021377,59.1316025067144,59.9387710474524,16,20.6,16.2,11.2,21.4,3.4,4.4,2.5,12579
"145","0137","2012","Våler (Østfold)",59.7667638483965,58.2899305555556,59.0435706695005,17,20.3,16.5,11.6,21.6,3.6,4.3,2.9,11302
"146","0137","2013","Våler (Østfold)",60.8226837060703,58.8610284742881,59.8723491867408,16.8,19.2,17.8,12.2,23.5,3.4,4.1,2.7,10862
"147","0137","2014","Våler (Østfold)",60.7395751376869,58.4154351395731,59.6022498995581,16.5,19.6,18.5,13,24.4,4.2,5,3.3,11078
"148","0137","2015","Våler (Østfold)",60.2896341463415,58.4814216478191,59.4117647058824,16.5,19.7,19,13.5,24.8,4.2,4.7,3.7,11040
"149","0137","2016","Våler (Østfold)",60.0979653353429,58.8467614533965,59.4870806016197,15.4,20,19.4,13.5,25.7,4.2,4.8,3.7,12449
"150","0137","2017","Våler (Østfold)",60.567479083303,59.1647331786543,59.8875351452671,14.9,21.1,19.8,13.7,26.3,4.4,4.8,4,13589
"151","0138","2008","Hobøl",61.0706638115632,60.209881941408,60.6447425356988,16.2,20.5,16.2,12.6,19.8,4.4,5.4,3.4,22209
"152","0138","2009","Hobøl",61.3316261203585,59.9654874892148,60.6522205535293,17.1,18.3,16.2,12.3,20.1,4.4,5.6,3.1,19617
"153","0138","2010","Hobøl",61.8052653572921,59.6849723286505,60.7549557148882,15.8,18.6,16.7,12.3,21.1,4.4,5.6,3.2,17266
"154","0138","2011","Hobøl",61.6382806163828,60.1005867560771,60.8821104699093,16,18.5,17,12.2,22,4.7,5.6,3.7,18322
"155","0138","2012","Hobøl",61.7694155324259,59.5938665561542,60.7004683363877,16.4,17.5,17.8,12.6,23.1,4.7,5.5,3.9,18637
"156","0138","2013","Hobøl",62.7852084972463,59.8031173092699,61.3253012048193,17.9,16.5,17.6,12.5,23,4.9,5.6,4.3,24112
"157","0138","2014","Hobøl",62.7986348122867,58.9411764705882,60.9022556390977,17.4,16,17.4,12.4,22.7,5.4,5.7,5.1,15703
"158","0138","2015","Hobøl",62.9805931893079,59.1500765696784,61.1079917649261,15.7,16.8,18,12.9,23.5,5.8,6.1,5.6,16529
"159","0138","2016","Hobøl",62.3051830373324,59.1688905833016,60.776662950576,16.4,16.3,18.6,13.4,24.1,5.8,5.5,6,18938
"160","0138","2017","Hobøl",61.8462618462618,59.6381093057607,60.7701997480655,16.2,16.8,19.3,13.9,25.1,6.3,6.2,6.5,22304
"161","0211","2008","Vestby",61.4389534883721,60.5471562275018,60.9909584086799,14.2,27.3,21.8,18.8,24.7,6.4,7.6,5.1,46582
"162","0211","2009","Vestby",60.6505920958767,60.0903189387525,60.3689251507627,14.4,25.1,21.8,18.7,24.8,6.8,8.1,5.6,51082
"163","0211","2010","Vestby",59.9720475192173,59.7118315322804,59.8413692339804,14.6,25.2,22.1,18.4,25.7,7,8.3,5.7,65360
"164","0211","2011","Vestby",59.4520921357503,59.2728259394926,59.3622518357357,14.9,25.4,22.3,18.8,25.8,7.3,8.2,6.3,70157
"165","0211","2012","Vestby",58.7045604758757,58.5510688836104,58.6277487948227,14.5,24.1,23,19.3,26.7,7.4,8.3,6.5,77140
"166","0211","2013","Vestby",58.2641991065731,58.1853281853282,58.2249279077219,15.6,23.5,23.3,19.7,26.9,7.7,8.6,6.9,83824
"167","0211","2014","Vestby",58.1704260651629,57.5087895529884,57.8399397892624,15.2,23.6,23.5,19.9,27.1,8.4,9,7.7,90543
"168","0211","2015","Vestby",58.1443550353572,57.3877651702023,57.7682403433476,14.9,23.8,24,20,27.9,8.8,9.2,8.3,94545
"169","0211","2016","Vestby",58.3800548729572,57.1445682117619,57.7635668180732,14.7,24.5,24.4,20.5,28.4,9,9.5,8.5,105745
"170","0211","2017","Vestby",57.7167998147505,56.648345222781,57.1852455201303,14.4,25,24.6,20.9,28.4,9.3,9.7,9,97072
"171","0213","2008","Ski",58.7719298245614,58.4607580259439,58.6156701481131,12.8,30.4,22.4,19.6,25.1,7.3,9.5,5.1,83906
"172","0213","2009","Ski",58.7463768115942,58.4070796460177,58.5761218816564,13,29.6,22.8,19.8,25.7,7.6,9.8,5.5,89109
"173","0213","2010","Ski",58.3506633201864,58.1687739735758,58.2592870142383,13.5,29.2,23.3,20.1,26.4,7.9,10,5.9,90410
"174","0213","2011","Ski",58.388838252822,57.8399888299358,58.1138279637597,13.7,28.5,24,20.6,27.3,8.1,10.2,6.1,91214
"175","0213","2012","Ski",58.4247946434735,57.1911896706483,57.8080773213669,13.9,28.3,24.6,21,28,8.3,10.2,6.4,95528
"176","0213","2013","Ski",58.1989614648811,56.7786790266512,57.4879721568226,14.1,27.1,24.8,21.4,28.2,8.6,10.2,6.9,95665
"177","0213","2014","Ski",58.0828980394817,56.8745355043578,57.4774896757159,14.4,27.3,25.2,21.6,28.7,9.1,10.5,7.6,94438
"178","0213","2015","Ski",57.8639208560468,56.5969428801287,57.2292191435768,14.7,27.2,25.6,21.8,29.3,9.7,11.3,8.2,91023
"179","0213","2016","Ski",58.1418383518225,56.8168287358603,57.4799246554972,14.5,27,25.9,22.1,29.7,9.9,11.2,8.6,90083
"180","0213","2017","Ski",58.0228482409451,56.8924928066963,57.4597693660825,14.5,27.6,26.2,22.3,30.1,10.3,11.4,9.2,92617
"181","0214","2008","Ås",58.9202485758674,58.25,58.5878360741321,18.6,26,22,17.6,26.4,14.4,18.7,10.1,101399
"182","0214","2009","Ås",59.6412556053812,58.2641991065731,58.9611044569123,18.8,25.2,22.2,17.8,26.5,14.4,18.2,10.7,98252
"183","0214","2010","Ås",59.8483936951029,58.3405572755418,59.105333821555,19.3,25.4,22.3,18,26.6,14.8,18.3,11.3,97003
"184","0214","2011","Ås",60.3053435114504,58.5300559746897,59.4334548496982,20.8,24.9,22.9,18.6,27.2,15.3,18.6,12,93647
"185","0214","2012","Ås",60.2254611705762,59.0331686661962,59.6389724600787,20.1,24.8,23.8,19.2,28.3,15.6,18.7,12.6,84767
"186","0214","2013","Ås",60.0670765790945,59.2253276121999,59.6539162112933,17.4,24.9,24.4,20,28.9,15.7,18.4,12.9,87508
"187","0214","2014","Ås",60.9718893005012,59.0717779547264,60.0422950637209,17.6,24.4,24.8,20.5,29.3,16.4,19.1,13.6,94131
"188","0214","2015","Ås",60.8459985120629,59.4237959093908,60.1470031886721,18.3,24.3,24.9,20.4,29.4,16.9,19.1,14.6,108668
"189","0214","2016","Ås",60.833938388134,59.897337183189,60.3727885425442,18.1,24.7,25.3,20.9,29.8,17,18.9,15,110150
"190","0214","2017","Ås",61.3161131611316,60.2182123373898,60.7735379510577,18.8,24.8,26.9,22.5,31.4,17,18.9,15.1,105790
"191","0215","2008","Frogn",58.9295935890097,58.3987873777043,58.6591786591787,14.6,30.4,23.9,21.3,26.3,7.5,9.8,5.3,65884
